Pojem česky	Definice česky
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Maximální hodnoty zvuku	"Maximální hodnoty zvuku pro tento objekt.
Jsou určeny podle národních stavebních předpisů. Udávají odolnost proti zvukové propustnosti tohoto objektu indexovým ukazatelem (místo zajištění hodnot absorpce zvuku)."
 Požární odolnost	Požární odolnost uvedená podle národní klasifikace požární bezpečnosti.
 Hořlavina	Údaj, zda je objekt vyroben z hořlavého materiálu (TRUE) nebo ne (TRUE).
 Povrchové šíření ohně	"Údaj o šíření ohně po povrchu.
Uvádí se podle národních stavebních předpisů upravujících požární odolnost materiálů."
 Součinitel prostupu tepla	"Součinitel prostupu tepla (hodnota U) materiálu.
Zde je to celkový součinitel prostupu tepla povrchem stěny (včetně všech materiálů)."
 Je venkovní	Udává, zda je prvek navržený pro použití ve venkovním prostředí (TRUE) nebo není (FALSE). Pokud platí (TRUE), jedná se o venkovní prvek a je orientován směrem ven z budovy.
	
 Výskyt klapky	Atributy výskytu klapky připojené k instanci IfcDamper
 Metoda stanovení rozměrů	"Udává, zda je velikost klapky jmenovitá nebo má přesné míry:

JMENOVITÉ: Metoda stanovení jmenovitých rozměrů. 
PŘESNÉ: Metoda stanovení přesných rozměrů."
	
 Historie provozu klapky	Atributy historie provozu klapky.
 Průtoková rychlost vzduchu	Průtoková rychlost vzduchu.
 Netěsnosti	Rychlost unikání vzduchu.
 Pokles tlaku	Pokles tlaku.
 Úhel nastavení lopatky	Úhel nastavení lopatky; úhel mezi lopatkou a směrem proudění (0–90).
 Poloha klapky	Poloha klapky (0-1); poloha klapky (0=zavřeno=úhel nastavení 90 stupňů, 1=otevřeno=úhel nastavení 0 stupňů).
 Součinitel ztráty tlaku	Součinitel ztráty tlaku.
	
 Typ klapky - všeobecně	Všeobecné atributy typu klapky.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Provoz	Pracovní mechanismus činnosti klapky.
 Orientace	Zamýšlená orientace klapky uvedená výrobcem.
 Materiál lopatek	Materiál, z něhož jsou vyrobeny lopatky klapky.
 Tloušťka lopatky	Tloušťka lopatky klapky.
 Těsnicí materiál	Materiál, z něhož je vyrobeno těsnění klapky.
 Činnost klapky	Činnost klapky.
 Tvar klapky	Tvar klapky. Plochý znamená s trojitou klínovou drážkou.
 Hrana lopatky	Hrana lopatky.
 Počet lopatek	Počet lopatek.
 Čelní plocha	Čelní plocha natočená do proudu vzduchu.
 Maximální rychlost průtoku vzduchu	Maximální přípustná rychlost průtoku vzduchu.
 Rozsah teplot	Rozsah teplot.
 Maximální pracovní tlak	Maximální pracovní tlak.
 Návrhová teplota	Návrhová teplota.
 Jmenovitá průtoková rychlost vzduchu	Jmenovitá průtoková rychlost vzduchu.
 Otevřený pokles tlaku	Celkový pokles tlaku při průchodu klapkou.
 Netěsnost při úplném uzavření	Netěsnost při úplném uzavření.
 Křivka součinitele ztrát	Křivka závislosti součinitele ztrát na úhlu nastavení lopatky; poměr poklesu tlaku a dynamického tlaku v závislosti na úhlu lopatky; C = f (úhel nastavení lopatky).
 Křivka ztrát	Ztráty netěsnostmi v závislosti na poklesu tlaku; ztráty netěsnostmi = f (tlak).
 Křivka regenerovaného zvuku	Závislost rychlosti regenerovaného zvuku na průtokové rychlosti vzduchu.
 Typ rámu	Typ rámu použitého u klapky (např. standardní, jednopřírubový, s jednou obrácenou přírubou, dvoupřírubový atd.).
 Hloubka rámu	Délka (nebo hloubka) rámu klapky.
 Materiál rámu	Materiál, z něhož je vyroben rám klapky.
 Tloušťka rámu	Tloušťka materiálu rámu klapky.
 Jmenovitý uzavírací výkon	Jmenovitý uzavírací výkon.
	
 Typ klapky - regulační klapka	"Atributy typu regulační klapky.
Pset přejmenován z Pset_TypKlapkyRegulační na Pset_TypKlapkyRegulačníKlapka v IFC2x2 Pset Addendum."
 Rozsah krouticích momentů	Rozsah krouticích momentů: minimální pracovní moment až maximální přípustný moment.
 Provoz regulační klapky	Vlastní charakteristika provozu regulační klapky.
	
 Typ klapky - požární klapka	"Atributy typu požární klapky.
Pset přejmenován z Pset_TypKlapkyPožární na Pset_TypKlapkyPožárníKlapka v IFC2x2 Pset Addendum."
 Typ pohonu	Výčet, který identifikuje různé typy klapek.
 Výčet charakteristik uzavření	Výčet, který identifikuje charakteristiku uzavření klapky.
 Jmenovitá požární odolnost	Míra požární odolnosti v hodinách (např. 1,5 hodiny, 2 hodiny atd.).
 Teplota tavného článku	Teplota, při které se taví tavný článek.
	
 Typ klapky - požárně kouřová klapka	"Atributy kombinovaného typu požární a kouřové klapky.
Nový Pset v IFC2x2 Pset Addendum."
 Typ regulace	Typ regulace používané k ovládání klapky (např. indikátor stavu otevřeno/zavřeno, nastavitelný snímač teploty, potlačení teploty atd.).
 Typ pohonu	Výčet, který identifikuje různé typy klapek.
 Výčet charakteristik uzavření	Výčet, který identifikuje charakteristiku uzavření klapky.
 Jmenovitá požární odolnost	Míra požární odolnosti v hodinách (např. 1,5 hodiny, 2 hodiny atd.).
 Teplota tavného článku	Teplota, při které se taví tavný článek.
	
 Typ klapky - kouřová klapka	"Atributy typu kouřové klapky.
Pset přejmenován z Pset_TypKlapkyKouřová na Pset_TypKlapkyKouřováKlapka v IFC2x2 Pset Addendum."
 Typ regulace	Typ regulace používané k ovládání klapky (např. indikátor stavu otevřeno/zavřeno, nastavitelný snímač teploty, potlačení teploty atd.).
	
 Diskrétní příslušenství - patka sloupu	Definice z IAI: Vlastnosti tvaru společné patkám sloupů.
 Tloušťka základové desky patky sloupu	Tloušťka základové desky patky sloupu.
 Šířka základové desky patky sloupu	Šířka základové desky patky sloupu.
 Hloubka základové desky patky sloupu	Hloubka základové desky patky sloupu.
 Výška bednění patky sloupu	Výška bednění patky sloupu.
 Šířka bednění patky sloupu	Šířka bednění patky sloupu.
 Hloubka bednění patky sloupu	Hloubka bednění patky sloupu.
	
 Diskrétní příslušenství - rohová upevňovací deska	Definice z IAI: Vlastnosti specifické pro rohové upevňovací desky.
 Délka rohové upevňovací desky	Délka rohové desky tvaru L.
 Tloušťka rohové upevňovací desky	Tloušťka rohové desky tvaru L.
 Šířka příruby rohové upevňovací desky v rovině Z	Šířka příruby rohové desky tvaru L v rovině Z.
 Šířka příruby rohové upevňovací desky v rovině X	Šířka příruby rohové desky tvaru L v rovině X.
	
 Diskrétní příslušenství - úhlopříčné ztužidlo	Definice z IAI: Vlastnosti tvaru specifické pro spojovací příslušenství ve formě ztužidel s úhlopříčnými příčkami.
 Výška úhlopříčného ztužidla	Celková výška ztužidla.
 Délka úhlopříčného ztužidla	Celková délka ztužidla.
 Rozestup příček úhlopříčného ztužidla	Rozestupy mezi sekcemi příček úhlopříčného ztužidla.
 Průměr základní příčky úhlopříčného ztužidla	Jmenovitý průměr základní příčky.
 Průměr sekundární příčky úhlopříčného ztužidla	Jmenovitý průměr sekundární příčky.
 Průměr příček úhlopříčného ztužidla	Jmenovitý průměr úhlopříčných příček.
	
 Diskrétní příslušenství - obrubní upevňovací deska	Vlastnosti specifické pro obrubní upevňovací desky.
 Délka obrubní upevňovací desky	Délka obrubní desky tvaru L.
 Tloušťka obrubní upevňovací desky	Tloušťka obrubní desky tvaru L.
 Šířka příruby obrubní upevňovací desky v rovině Z	Šířka příruby obrubní desky tvaru L v rovině Z.
 Šířka příruby obrubní upevňovací desky v rovině X	Šířka příruby obrubní desky tvaru L v rovině X.
	
 Diskrétní příslušenství - upevňovací objímka	Vlastnosti společné upevňovacím objímkám.
 Reference na typ upevňovací objímky	Reference na typ upevňovací objímky podle místních norem.
 Výška upevňovací objímky	Celková výška upevňovací objímky.
 Průměr upevňovací objímky	Jmenovitý průměr závitu.
 Délka upevňovací objímky	Délka závitové části upevňovací objímky.
	
 Diskrétní příslušenství - vodorovné ztužidlo	Definice z IAI: Vlastnosti tvaru specifické pro spojovací příslušenství ve formě vodorovných ztužidel ve tvaru žebříku.
 Výška vodorovného ztužidla	Celková výška ztužidla.
 Délka vodorovného ztužidla	Celková délka ztužidla.
 Rozestup příček vodorovného ztužidla	Rozestupy mezi vodorovnými příčkami.
 Průměr základní příčky vodorovného ztužidla	Jmenovitý průměr základní příčky.
 Průměr sekundární příčky vodorovného ztužidla	Jmenovitý průměr sekundární příčky.
 Průměr příčky vodorovného ztužidla	Jmenovitý průměr vodorovných příček.
	
 Diskrétní příslušenství - standardní upevňovací deska	Definice z IAI: Vlastnosti specifické pro standardní upevňovací desky.
 Šířka standardní upevňovací desky	Šířka standardní upevňovací desky.
 Hloubka standardní upevňovací desky	Hloubka standardní upevňovací desky.
 Tloušťka standardní upevňovací desky	Tloušťka standardní upevňovací desky.
	
 Diskrétní příslušenství - drátěná smyčka	Definice z IAI: Vlastnosti tvaru společné pro styčníkové spoje.
 Tloušťka základové desky drátěné smyčky	Tloušťka základové desky.
 Šířka základové desky drátěné smyčky	Šířka základové desky.
 Délka základové desky drátěné smyčky	Délka základové desky.
 Průměr drátu	Jmenovitý průměr drátu.
 Délka zapuštění drátu	Délka části drátu, která je zapuštěna do prefabrikovaného betonového prvku.
 Délka drátěné smyčky	Délka upevňovací části smyčky drátu.
	
 Prvek rozdělovací komory - všeobecně	Všeobecné vlastnosti všech výskytů IfcDistributionChamberElement.
 Reference	Referenční ID pro tuto konkrétní instanci (např.  'WWS/VS1/400/001', což znamená, že výskyt patří do systému WWS, subsystémů VSI/400, a má číslo součásti 001).
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
	
 Typ prvku rozdělovací komory - tvarový kanál	Prostor vytvořený v zemi pro průchod potrubí, kabelů, kanálů.
 Světlá šířka	Šířka vytvořeného prostoru v kanálu.
 Světlá hloubka	Hloubka vytvořeného prostoru v kanálu.
 Tloušťka stěny	"Tloušťka konstrukce stěny kanálu
POZNÁMKA: Předpokládá se, že stěny komory budou mít stejnou tloušťku."
 Tloušťka základu	"Tloušťka konstrukce základu kanálu
POZNÁMKA: Předpokládá se, že základ kanálu bude mít stejnou tloušťku."
 Nosnost krytu průlezu	Nosnost krytu průlezu (může to být hodnota nebo alfanumerické označení třídy).
	
 Typ prvku rozdělovací komory - revizní šachta	Komora vytvořená na odtoku, kanalizaci nebo potrubí, osazená snímatelným krytem, která umožňuje vizuální kontrolu.
 Délka nebo poloměr komory	Délka nebo poloměr komory (v případě jejího kruhového půdorysu).
 Šířka komory	Šířka v případě, že tvar komory nemá kruhový půdorys.
 Úroveň dna	Úroveň nejnižší části průřezu měřená od úrovně země.
 Úroveň spodní plochy klenby	Úroveň nejvyšší vnitřní části průřezu měřená od úrovně země.
 Materiál stěny	"Materiál, ze kterého je vyrobena stěna komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Tloušťka stěny	"Tloušťka konstrukce stěny komory
POZNÁMKA: Předpokládá se, že stěny komory budou mít stejnou tloušťku."
 Materiál základny	"Materiál, ze kterého je vyrobena základna komory.
POZNÁMKA: Předpokládá se, že základna komory bude vyrobena z jednoho materiálu."
 Tloušťka základu	"Tloušťka konstrukce základny komory
POZNÁMKA: Předpokládá se, že základna komory bude mít stejnou tloušťku."
 Se spadištěm	Udává, zda má komora spadiště nebo přepadový jez (TRUE) nebo ne (FALSE).
 Materiál krytu průlezu	"Materiál, ze kterého je vyroben kryt průlezu komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Délka nebo poloměr průlezu	Délka krytu průlezu do komory, případně jeho poloměr, má-li kryt kruhový půdorys.
 Šířka průlezu	Šířka krytu průlezu do komory v případě, že kryt nemá kruhový půdorys.
 Nosnost krytu průlezu	Nosnost krytu průlezu (může to být hodnota nebo alfanumerické označení třídy).
	
 Typ prvku rozdělovací komory - revizní jáma	Vytvořený výklenek nebo komora umožňující přístup pro revizi podzemní části konstrukce a inženýrských sítí (definice upravena z BS6100 221 4128).
 Délka	Délka jámy.
 Šířka	Šířka jámy.
 Hloubka	Hloubka jámy.
	
 Typ prvku rozdělovací komory - vstupní šachta	Komora vytvořená na odtoku, kanalizaci nebo potrubí, osazená snímatelným krytem, která umožňuje vstup osoby.
 Úroveň dna	Úroveň nejnižší části průřezu měřená od úrovně země.
 Úroveň spodní plochy klenby	Úroveň nejvyšší vnitřní části průřezu měřená od úrovně země.
 Materiál stěny	"Materiál, ze kterého je vyrobena stěna komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Tloušťka stěny	"Tloušťka konstrukce stěny komory
POZNÁMKA: Předpokládá se, že stěny komory budou mít stejnou tloušťku."
 Materiál základny	"Materiál, ze kterého je vyrobena základna komory.
POZNÁMKA: Předpokládá se, že základna komory bude vyrobena z jednoho materiálu."
 Tloušťka základu	"Tloušťka konstrukce základny komory
POZNÁMKA: Předpokládá se, že základna komory bude mít stejnou tloušťku."
 Je mělká	Udává, zda je komora navržena jako mělká (TRUE) nebo hluboká (FALSE).
 Má schody	Udává, zda má komora schody (TRUE) nebo ne (FALSE).
 Se spadištěm	Udává, zda má komora spadiště nebo přepadový jez (TRUE) nebo ne (FALSE).
 Materiál krytu průlezu	"Materiál, ze kterého je vyroben kryt průlezu komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Délka nebo poloměr průlezu	Délka krytu průlezu do komory, případně jeho poloměr, má-li kryt kruhový půdorys.
 Šířka průlezu	Šířka krytu průlezu do komory v případě, že kryt nemá kruhový půdorys.
 Nosnost krytu průlezu	Nosnost krytu průlezu (může to být hodnota nebo alfanumerické označení třídy).
	
 Typ prvku rozdělovací komory - měřicí šachta	Komora s měřiči (definice upravena z BS6100 250 6224).
 Délka nebo poloměr komory	Délka nebo poloměr komory (v případě jejího kruhového půdorysu).
 Šířka komory	Šířka v případě, že tvar komory nemá kruhový půdorys.
 Materiál stěny	"Materiál, ze kterého je vyrobena stěna komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Tloušťka stěny	"Tloušťka konstrukce stěny komory
.
POZNÁMKA: Předpokládá se, že stěny komory budou mít stejnou tloušťku."
 Materiál základny	"Materiál, ze kterého je vyrobena základna komory.
POZNÁMKA: Předpokládá se, že základna komory bude vyrobena z jednoho materiálu."
 Tloušťka základu	"Tloušťka konstrukce základny komory.
POZNÁMKA: Předpokládá se, že základna komory bude mít stejnou tloušťku."
 Materiál krytu průlezu	"Materiál, ze kterého je vyroben kryt průlezu komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
	
 Typ prvku rozdělovací komory - jímka	Výklenek nebo malá komora, do níž se odvádí kapalina z důvodu jejího snazšího odčerpání.
 Délka	Délka jímky.
 Šířka	Šířka jímky.
 Úroveň dna	Nejnižší bod v průřezu jímky.
	
 Typ prvku rozdělovací komory - příkop	Výkop, jehož délka je podstatně větší než šířka.
 Šířka	Šířka příkopu.
 Hloubka	Hloubka příkopu.
 Úroveň dna	Úroveň nejnižší části průřezu měřená od úrovně země.
	
 Typ prvku rozdělovací komory - ventilová komora	Komora osazená ventily.
 Délka nebo poloměr komory	Délka nebo poloměr komory (v případě jejího kruhového půdorysu).
 Šířka komory	Šířka v případě, že tvar komory nemá kruhový půdorys.
 Materiál stěny	"Materiál, ze kterého je vyrobena stěna komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
 Tloušťka stěny	"Tloušťka konstrukce stěny komory.
POZNÁMKA: Předpokládá se, že stěny komory budou mít stejnou tloušťku."
 Materiál základny	"Materiál, ze kterého je vyrobena základna komory.
POZNÁMKA: Předpokládá se, že základna komory bude vyrobena z jednoho materiálu."
 Tloušťka základu	"Tloušťka konstrukce základny komory.
POZNÁMKA: Předpokládá se, že základna komory bude mít stejnou tloušťku."
 Materiál krytu průlezu	"Materiál, ze kterého je vyroben kryt průlezu komory.
POZNÁMKA: Předpokládá se, že stěny komory budou vyrobeny z jednoho materiálu."
	
 Rozvodný port - všeobecně	Společné atributy připojené k instanci IfcDistributionPort.
 Číslo portu	Index portu pro logické seřazení portu v prvku nebo typu prvku, který jej obsahuje.
 Barevné označení	Název barvy pro označení konektoru, je-li to relevantní.
	
 Historie provozu rozvodného portu - kabel	Zápis elektrické aktivity, připojený k instanci IfcPerformanceHistory s přiřazeným objektem IfcDistributionPort typu KABEL.
 Proud	Zápis elektrického proudu.
 Napětí	Zápis elektrického napětí.
 Činný výkon	Činný výkon.
 Jalový výkon	Jalový výkon.
 Zdánlivý výkon	Zdánlivý výkon.
 Účiník	Účiník.
 Přenášená data	U datových portů zachycuje zápis přenášených dat.  SEZNAM u hodnot IfcTimeSeriesValue.Values může rozdělit data podle Pset_DistributionPortTypeCable.Protocols.
 Přijatá data	U datových portů zachycuje zápis přijatých dat.  SEZNAM u hodnot IfcTimeSeriesValue.Values může rozdělit data podle Pset_DistributionPortTypeCable.Protocols.
	
 Historie provozu rozvodného portu - kanál	Historie provozu průtoku tekutiny připojená k instanci IfcPerformanceHistory přiřazené k IfcDistributionPort.  Nahrazuje nepřípustné IfcFluidFlowProperties pro hodnoty výkonu.
 Teplota	Teplota tekutiny. U vzduchu tato hodnota představuje teplotu suchého teploměru.
 Teplota mokrého teploměru	Teplota mokrého teploměru k měření tekutiny; platí jen je-li tekutinou vzduch.
 Objemová průtoková rychlost	Objemová průtoková rychlost tekutiny.
 Hmotnostní průtoková rychlost	Hmotnostní průtoková rychlost tekutiny.
 Stav proudění	Definuje stav proudění jako procento plochy průřezu.
 Rychlost	Rychlost tekutiny.
 Tlak	Tlak tekutiny.
	
 Historie provozu rozvodného portu - trubka	Zápis o používání látky, připojený k instanci IfcPerformanceHistory s přiřazeným objektem IfcDistributionPort typu TRUBKA.
 Teplota	Teplota paliva.
 Tlak	Tlak paliva.
 Průtok	Průtok paliva.
	
 Typ rozvodného portu - kabel	Výskyt kabelového portu připojeného k instanci IfcDistributionPort.
 Typ připojení	"Fyzické připojení portu:

ZÁSTRČKA PRO STŘÍDAVÝ PROUD: Zástrčka pro střídavý proud
ZÁSTRČKA PRO STEJNOSMĚRNÝ PROUD: Zástrčka pro stejnosměrný proud
ZVLNĚNÝ: holý drát"
 Subtyp připojení	"Subtyp fyzického připojení portu, který blíže určuje TypPřipojení.  Doporučeny jsou tyto hodnoty:
ZÁSTRČKA PRO STŘÍDAVÝ PROUD: A, B, C, D, E, F, EF, G, H, I, J, K, L, M; RADIO: IEEE802.11g, IEEE802.11n
; RJ: 4P4C, 6P2C, 8P8C; DIN: Mini3P, Mini4P, Mini5P, Mini6P, Mini7P, Mini8P, Mini9P 
DSub: DA15, DB25, DC37, DD50, DE9, DE15 
EIAJ: RC5720
HDMI: A, B, C
TRS: TS_Mini, TS_SubMini, TRS_Mini, TRS_SubMini"
 Pohlaví připojení	Fyzické pohlaví připojení.
 Funkce vodiče	U portů rozvádějících energii udává funkci vodičů, ke kterým je připojeno zatížení.
 Proudový obsah - 3. harmonická	Poměr mezi harmonickými proudy třetího řádu a fázovým proudem.
 Proud	Skutečný proud a použitelný rozsah.
 Napětí	Skutečné napětí a použitelný rozsah.
 Výkon	Skutečný výkon a použitelný rozsah.
 Protokoly	U datových portů identifikuje protokoly používané dle základního referenčního modelu (ISO 7498) propojení otevřených systémů (OSI).  Obsažené vrstvy: 1. fyzická; 2. datový spoj; 3. síť; 4. transport; 5. relace; 6. prezentace; 7. aplikace.  Příklad: 3:IP, 4:TCP, 5:HTTP
	
 Typ rozvodného portu - kanál	Výskyt kanálového portu připojeného k instanci IfcDistributionPort.
 Typ připojení	"Styl zakončení kanálového portu:

PROLISOVANÁ OBJÍMKA: Prolisovaná objímka. 
TLAKOVÝ SPOJ: Tlakový spoj. 
ZVLNĚNÝ: Zvlněný. 
STAHOVACÍ PÁSEK: Stahovací pásek. 
TAŽNÁ SPOJKA: Tažná spojka. 
PŘÍRUBOVÝ: Přírubový. 
VNĚJŠÍ OBJÍMKA: Vnější objímka. 
NÁSUVNÝ: Násuvný. 
PÁJENÝ NA MĚKKO: Pájený na měkko. 
ESOVITÁ SPOJKA: Esovitá spojka. 
STOJATÁ DRÁŽKA: Stojatá drážka. 
DĚLENÁ SPOJKA: Dělená spojka. 
SVAŘOVANÝ: Svařovaný. 
JINÝ: Byl použit jiný typ stylu zakončení.
ŽÁDNÝ: Nebyl použit žádný styl zakončení."
 Subtyp připojení	Subtyp fyzického připojení portu, který blíže určuje TypPřipojení.
 Jmenovitá šířka	Jmenovitá šířka nebo průměr připojení kanálového vedení.
 Jmenovitá výška	Jmenovitá výška připojení kanálového vedení.
 Teplota suchého teploměru	Teplota vzduchu na suchém teploměru.
 Teplota mokrého teploměru	Teplota vzduchu na mokrém teploměru.
 Objemová průtoková rychlost	Objemová průtoková rychlost tekutiny.
 Rychlost	Rychlost tekutiny.
 Tlak	Tlak tekutiny.
	
 Typ rozvodného portu - potrubí	Výskyt potrubního portu připojeného k instanci IfcDistributionPort.
 Typ připojení	"Styl zakončení potrubního portu:

PÁJENÝ NA TVRDO: Pájený na tvrdo. 
TLAKOVÝ SPOJ: Tlakový spoj. 
PŘÍRUBOVÝ: Přírubový. 
DRÁŽKOVÝ: Drážkový. 
VNĚJŠÍ OBJÍMKA: Vnější objímka. 
PÁJENÝ NA MĚKKO: Pájený na měkko. 
DĚLENÁ SPOJKA: Dělená spojka. 
SE ZÁVITEM: Se závitem. 
SVAŘOVANÝ: Svařovaný. 
JINÝ: Byl použit jiný typ stylu zakončení.
ŽÁDNÝ: Nebyl použit žádný styl zakončení.
DEFINOVANÝ UŽIVATELEM: Typ připojení portu definovaný uživatelem. 
NEDEFINOVANÝ: Nedefinovaný typ připojení portu."
 Subtyp připojení	Subtyp fyzického připojení portu, který blíže určuje TypPřipojení.
 Jmenovitý průměr	Jmenovitý průměr potrubního spoje.
 Vnitřní průměr	Skutečný vnitřní průměr potrubí.
 Vnější průměr	Skutečný vnější průměr potrubí.
 Teplota	Teplota tekutiny.
 Objemová průtoková rychlost	Objemová průtoková rychlost tekutiny.
 Hmotnostní průtoková rychlost	Hmotnostní průtoková rychlost tekutiny.
 Stav proudění	Definuje stav proudění jako procento plochy průřezu.
 Rychlost	Rychlost tekutiny.
 Tlak	Tlak tekutiny.
	
 Rozvodný systém - všeobecně	Výskyt rozvodného systému připojeného k instanci IfcDistributionSystem.
 Reference	Referenční ID pro tuto konkrétní instanci rozvodného systému nebo subsystému (např. 'WWS/VS1', což znamená, že systém je WWS, subsystémy VSI/400). Referenční hodnoty závisí na místních prováděcích předpisech.
	
 Typ rozvodného systému - elektrický	Vlastnosti elektrických obvodů.
 Typ elektrického systému	"Pro některé účely elektrotechnických předpisů norma IEC 60364 definuje typy systémů pomocí identifikátorů typu. Přiřazení identifikátorů závisí na vztahu zdroje a nechráněných vodivých částí instalace k zemi.   Identifikátory, které mohou být přiřazeny pomocí normy IEC 60364, jsou: 

• soustava typu TN, soustava s jedním nebo několika přímo uzemněnými body zdroje energie, nechráněné vodivé části instalace jsou s těmito body spojeny prostřednictvím ochranných vodičů, 
• soustava typu TN C, soustava typu TN, v níž je funkce neutrálního a ochranného vodiče sloučena do jediného vodiče, 
• soustava typu TN S, soustava typu TN v níž se užívá odděleně vedený neutrální a ochranný vodič, 
• soustava typu TN C S, soustava typu TN, v jejíž části je funkce neutrálního a ochranného vodiče sloučena do jediného vodiče, 
• soustava typu TT, soustava s jedním přímo uzemněným bodem zdroje energie, nechráněné vodivé části instalace jsou spojeny se zemními elektrodami, které jsou elektricky nezávislé na zemních elektrodách zdroje, 
• soustava typu IT, soustava bez přímého spojení mezi vodivými částmi a zemí, nechráněné vodivé části elektrické instalace jsou uzemněny."
 Kategorie elektrického systému	Označuje napěťový rozsah obvodu podle IEC.  VYSOKONAPĚŤOVÝ znamená > 1000 V AC nebo > 1500 V DV; NÍZKONAPĚŤOVÝ znamená 50–1000 V AC nebo 120–1500 V DC; S VELMI NÍZKÝM NAPĚTÍM znamená < 50 V AC nebo < 120 V DC.
 Různost	"Poměr vyjádřený jako číselná
hodnota nebo jako procento
současného maximálního odběru
skupiny elektrických přístrojů nebo
spotřebitelů v určitém časovém intervalu
k součtu jejich individuálních maximálních
odběrů za stejné
období. Skupina elektrických přístrojů je v tomto případě zapojena do tohoto obvodu. Definice z normy IEC 60050, IEV 691-10-04 
POZNÁMKA1: Mnohdy není žádoucí dimenzovat každý vodič v rozvodném systému tak, aby podporoval celkové připojené zatížení v tomto bodě sítě. Různost se používá na základě předpokládaných zátěží, které budou pravděpodobně výsledkem všech zatížení, která nejsou připojena najednou.
POZNÁMKA2: Různost se používá jen u koncových obvodů, ne u vedlejších obvodů, které napájejí jiné rozvaděče."
 Počet vodičů pod napětím	Počet vodičů, které jsou v tomto obvodu pod napětím. Lze uplatnit buďto tuto vlastnost nebo vlastnost FunkceVodiče (pokud je jen jedna).
 Maximální přípustný pokles napětí	"Maximální pokles napětí v obvodu, který nesmí být překročen. 
Je možné použít dvě nastavení mezí poklesu napětí; jedno pro vedlejší obvody a jedno v každém rozvaděči nebo domovním rozvaděči pro koncové okruhy připojené k tomuto rozvaděči. Nastavení by mělo omezit celkový pokles napětí na požadovanou úroveň. Je možné použít výchozí nastavení 1,5 % pro vedlejší okruhy a 2,5 % pro koncové okruhy, tj. celkový limit 4 %.
POZNÁMKA: Tato hodnota může být v modelu IFC také podle potřeby stanovena jako omezení, ale je součástí souboru vlastností v této fázi nedokončené implementace požadovaných možností v softwarových aplikacích."
 Čistá impedance	Maximální impedance uzemňovací smyčky před okruhem (nejčastěji se uvádí jako proměnná Zs). Tato hodnota platí pro používání při teplotě 55 °C (130 °F).
	
 Typ rozvodného systému - ventilační	"Tento soubor vlastností se používá k definování všeobecných charakteristik návrhových parametrů kanálového vedení v určitém systému.
HISTORIE: Nový soubor vlastností ve verzi IFC 2.0.  Přejmenováno z Pset_KritériaNávrhuKanálu v IFC4."
 Název návrhu	Název návrhových hodnot.
 Metoda stanovení rozměrů kanálového vedení	Výčet, který identifikuje metody používané ke stanovení rozměrů součástí systému.
 Třída tlaku	Jmenovitý výpočtový tlak v součástech systému. (Typ dat = ZměřenáHodnotaTlaku)
 Třída netěsnosti	Jmenovité výpočtové ztráty netěsnostmi v součástech systému.
 Ztráty třením	Tlaková ztráta vzniklá třením vztažená na jednotku délky. (Typ dat = ZměřenáHodnotaTlaku/ZměřenáHodnotaDélky)
 Koeficient odpadu	Koeficient odpadu plechu.
 Těsnění kanálového vedení	Druh těsnicího materiálu používaný u kanálového vedení a armatur.
 Maximální rychlost	Maximální návrhová rychlost vzduchu v kanálovém vedení nebo armatuře.
 Poměr stran	Výchozí poměr stran.
 Minimální výška	Minimální výška pravoúhlého, oválného nebo kruhového kanálového vedení.
 Minimální šířka	Minimální šířka oválného nebo pravoúhlého kanálového vedení.
	
 Dveře - všeobecně	Společné vlastnosti pro definici všech výskytů IfcDoor.
